MsgID.STATE,1526666818.5144691,False,False
MsgID.GLOBAL_HOME,1526666866.6332469,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6334138,-122.3974513,37.7924799,0.0940000
MsgID.LOCAL_VELOCITY,1526666866.6334138,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6336031,-0.0002225,-0.1225746,-0.0952973
MsgID.LOCAL_VELOCITY,1526666866.6336031,0.0000045,-0.0000062,0.0000112
MsgID.GLOBAL_POSITION,1526666866.6337979,-122.3974495,37.7924799,0.1230000
MsgID.LOCAL_VELOCITY,1526666866.6337979,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6340749,-0.0003757,0.0439540,-0.1236442
MsgID.LOCAL_VELOCITY,1526666866.6340749,0.0000090,0.0000033,0.0000172
MsgID.GLOBAL_POSITION,1526666866.6342621,-122.3974500,37.7924798,0.1530000
MsgID.LOCAL_VELOCITY,1526666866.6342621,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6344230,-0.0203552,-0.0057578,-0.1537133
MsgID.LOCAL_VELOCITY,1526666866.6344230,-0.0000137,0.0000004,0.0000169
MsgID.GLOBAL_POSITION,1526666866.6345880,-122.3974516,37.7924792,0.1780000
MsgID.LOCAL_VELOCITY,1526666866.6345880,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6347411,-0.0837866,-0.1459594,-0.1782698
MsgID.LOCAL_VELOCITY,1526666866.6347411,-0.0000185,-0.0000198,0.0000162
MsgID.STATE,1526666866.6349802,True,True
MsgID.GLOBAL_HOME,1526666866.6352079,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6353610,-122.3974518,37.7924794,0.2010000
MsgID.LOCAL_VELOCITY,1526666866.6353610,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6355360,-0.0653406,-0.1639864,-0.2014448
MsgID.LOCAL_VELOCITY,1526666866.6355360,-0.0000002,-0.0000223,0.0000222
MsgID.GLOBAL_POSITION,1526666866.6357200,-122.3974495,37.7924805,0.2150000
MsgID.LOCAL_VELOCITY,1526666866.6357200,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6362472,0.0591559,0.0428891,-0.2157762
MsgID.LOCAL_VELOCITY,1526666866.6362472,0.0000053,0.0000010,0.0000210
MsgID.GLOBAL_POSITION,1526666866.6365530,-122.3974490,37.7924816,0.2230000
